Time,trans_axial,forca,trans_grande,trans_radial,1,2,3,RDP132105,Ref. of axis Actuador axial 10 kN,Number of cycles,LVDT 3,RDP132091,RDP132089,ea,q,Ed_Shoelace,Ed_trapezio,,,
"5:131:7173:429532:429497065,6",5.5943847,0.1003428,5.73380743,0.67165334,3.30482289,1.28426982,2.57082408,0.01004355,1,949997,0.0127108572692308,0.00493949930769231,0.00988778492307692,0.00741364211538462,5.67824093286451,,-0.000406481413018884,,,
"5:131:7173:429532:429497090,6",5.55467508,0.05320809,5.69030358,1.02723452,3.28513914,1.27346736,2.53297528,0.01004355,1,949997,0.0126351505384615,0.00489795138461538,0.00974221261538462,0.007320082,3.01096196834789,,-7.7792595042903E-05,,,
"5:131:7173:429532:429497115,6",5.541179,0.05030343,5.68057919,1.20502511,3.26340828,1.27034212,2.52228856,0.01004355,1,949997,0.0125515703076923,0.00488593123076923,0.00970110984615385,0.00729352053846154,2.84659183608076,,0.000165758564188148,,,
"5:131:7173:429532:429497140,6",5.55701094,0.10681227,5.6964453,1.20502511,3.24766128,1.26952684,2.54249314,0.01004355,1,949997,0.0124910049230769,0.00488279553846154,0.00977881976923077,0.00733080765384615,6.0443380456413,,0.000782003892949648,,,
"5:131:7173:429532:429497165,6",5.5943847,0.18695448,5.73841372,1.08649805,3.23663838,1.27598114,2.58496172,0.00986094,1,949998,0.0124486091538462,0.00490761976923077,0.00994216046153846,0.00742489011538462,10.5794594222844,0.00516038627158189,0.00179424568913957,,,
"5:131:7173:429532:429497190,6",5.64655224,0.28161999,5.80546083,0.96797099,3.22703271,1.28963708,2.64167926,0.00967833,1,949998,0.0124116642692308,0.00496014261538462,0.0101603048461538,0.00756022373076923,15.9364314602632,,0.00290583115143827,,,
"5:131:7173:429532:429497215,6",5.70832276,0.39239316,5.87148432,0.73091687,3.22797753,1.30519534,2.7053543,0.00986094,1,949998,0.0124152981923077,0.00501998207692308,0.0104052088461538,0.00771259546153846,22.2049105953596,,0.00382395085682181,,,
"5:131:7173:429532:429497240,6",5.76853604,0.52587549,5.93853143,0.73091687,3.23459127,1.3190551,2.76802746,0.01022616,1,949998,0.0124407356538462,0.00507328884615385,0.0106462594615385,0.00785977415384615,29.7584653099991,,0.00445471282835895,,,
"5:131:7173:429532:429497265,6",5.82874932,0.70596441,6.00557854,0.61238981,3.24577164,1.33046902,2.8230752,0.01004355,1,949998,0.0124837370769231,0.00511718853846154,0.0108579815384615,0.00798758503846154,39.9494135105612,,0.00281269794065841,,,
"5:131:7173:429532:429497290,6",5.8681994,0.82716795,6.03833438,0.61238981,3.259629,1.33563246,2.85162878,0.01004355,1,949998,0.0125370346153846,0.00513704792307692,0.010967803,0.00805242546153846,46.8081308478897,,0.000876842722160248,0.00515378394075949,,
"5:131:7173:429532:429497315,6",5.88169548,0.8542341,6.04908239,0.61238981,3.27836793,1.33692332,2.85992212,0.01004355,1,949998,0.0126091074230769,0.00514201276923077,0.0109997004615385,0.00807085661538461,48.3397616258334,,0.000279397932171813,,,
"5:131:7173:429532:429497340,6",5.8850695,0.85463019,6.04908239,0.61238981,3.29285517,1.33753478,2.8623155,0.00986094,1,949998,0.0126648275769231,0.00514436453846154,0.0110089057692308,0.00807663515384615,48.3621757347789,,-0.000133414485144827,,,
"5:131:7173:429532:429497365,6",5.87935962,0.81792585,6.04908239,0.61238981,3.30435048,1.3377386,2.8606457,0.00986094,1,949998,0.0127090403076923,0.00514514846153846,0.0110024834615385,0.00807381596153846,46.2851349724943,,-0.00100202047428555,,,
"5:131:7173:429532:429497390,6",5.8643063,0.70675659,6.03219266,0.61238981,3.31820784,1.3377386,2.84856748,0.00986094,1,949998,0.0127623378461538,0.00514514846153846,0.0109560287692308,0.00805058861538461,39.9942417284523,,-0.00098777047808333,,,
"5:131:7173:429532:429497415,6",5.84925298,0.61724025,6.01479112,0.61238981,3.32938821,1.33794242,2.83465248,0.00986094,1,949998,0.0128053392692308,0.00514593238461539,0.0109025095384615,0.00802422096153846,34.9286531067652,,-0.00140543327552946,,,
"5:131:7173:429532:429497440,6",5.82952794,0.5201982,5.988177,0.61238981,3.3336399,1.33733096,2.81255546,0.01004355,1,949998,0.0128216919230769,0.00514358061538462,0.010817521,0.00798055080769231,29.4371964151134,,-0.00206960910583942,,,
